0x590e1ae3  refund()
0x278ecde1  refund(uint256)
0x38e771ab  refundAll()
0x4e71d92d  claim()
0x379607f5  claim(uint256)
0x48c54b9d  claimTokens()
0x46e04a2f  claimTokens(uint256)
0xd1058e59  claimAll()
0x3ccfd60b  withdraw()
0x2e1a7d4d  withdraw(uint256)
0x853828b6  withdrawAll()
0x4bb278f3  finalize()
0x78abfbeb  finalization()
0xe9fad8ee  exit()
0x41c0e1b5  kill()
0x9890220b  drain()
0xa69df4b5  unlock()
0xf968f493  unlockTokens()
0x86d1a69f  release()
0xa96f8668  releaseTokens()
0x80e9071b  reclaim()
0x84054d3d  cashout()
0xb2d5ae44  getRefund()
0xe84f7054  refundMyIcoInvestment()
0x110f8874  withdrawRefund()
0x4311de8f  ownerWithdraw()
0x33f707d1  ownerWithdraw(uint256)
0xdb2e21bc  emergencyWithdraw()
0x5641ec03  emergencyExit()
0x1fbe1979  rescue()
0xdd8c2e0f  rescueTokens()
0x35faa416  sweep()
0x8925dbcc  sweepTokens()
0xb79550be  recoverFunds()
0xb77f39fe  recoverTokens()
0xe5225381  collect()
0x8433acd1  collectTokens()
0x7362377b  withdrawEther()
0xe086e5ec  withdrawETH()
