address,eth,deployed_at,high,all_known
0xdd9fd6b6f8f7ea932997992bbe67eabb3e316f3c,3391.031006783,2018-08-06 13:21:20+00:00,withdraw(),withdraw()
0x4d55f76ce2dbbae7b48661bef9bd144ce0c9091b,2480.192238547,2017-09-05 02:41:14+00:00,withdraw(uint256),withdraw(uint256)
0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,1513.842587499,2016-06-12 06:12:31+00:00,withdraw(uint256),withdraw(uint256)
0x755cdba6ae4f479f7164792b318b2a06c759833b,977.498258383,2016-09-07 18:01:50+00:00,withdraw(),withdraw()
0xab83d96de35bad6f234178fbb6507203488e9626,468.011831222,2018-09-06 08:32:55+00:00,withdraw(),withdraw()
0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65,221.058365881,2016-08-30 16:52:14+00:00,withdraw(uint256),withdraw(uint256)
0xdd637dda8a1c9b6b1687877615a75da0fe8af5cc,138.261463503,2018-02-16 15:35:03+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xc4c51de1abf5d60dbd329ec0f999fd8f021ae9fc,122.072520887,2015-08-12 15:21:01+00:00,withdraw(uint256),withdraw(uint256)
0x05aa2fdf9f58b426b49900834cce0565d88e52eb,120.215216327,2018-08-15 05:18:39+00:00,withdraw(),withdraw()
0x4d1886daf2617cbd9e27abfd0f18a54f04f33c41,107.532795833,2017-10-31 09:48:49+00:00,withdraw(),withdraw()
0xc3c12a9e63e466a3ba99e07f3ef1f38b8b81ae1b,101.280608131,2019-03-12 01:31:13+00:00,withdraw(uint256),withdraw(uint256)
0x48c128eafc3b937fb1f97889ad174ac02b4952cb,98.47882716,2018-02-05 23:28:17+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xdc260a232ced6e544909830d7128678466420aff,92.8,2018-01-26 19:18:22+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xf058ee35f381a12b3a0f504025419dcaf047ce7f,91.234433426,2018-01-18 21:01:07+00:00,withdraw(),withdraw()
0x47663541167ece0b96d9e5c60f9e470b2a20f598,87.328173919,2018-09-06 11:00:51+00:00,withdraw(),withdraw()
0x4fb7d68e0116f35ade131b6535b2db1027bf7650,84.847134201,2018-08-29 10:44:19+00:00,withdraw(),withdraw()
0x879ae0704944fb78a3a59835caf734b2c104aff2,84.007332004,2018-02-12 18:21:05+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xd79b4c6791784184e2755b2fc1659eaab0f80456,83.944570744,2015-08-12 16:14:15+00:00,withdraw(uint256),withdraw(uint256)
0xfd71d62a6dfe8b4e85a81f1d006e955f75aec922,73.178790514,2016-04-08 22:46:20+00:00,claim(),claim()
0x18b59a4d99f7bd96d1ef7a3e597f259ad9563e2d,70.856527199,2018-08-28 14:24:49+00:00,withdraw(),withdraw()
0x86afdaccb07a11e4aa604f3aa0517d6391b23bbc,58.726089483,2018-02-01 03:39:57+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x2387a684f010936ce7267b0110c980c867533ff6,55.6486,2017-10-31 13:52:40+00:00,getRefund(),getRefund()
0xed44f3c2081480b08643fe1ca281fab9ed643735,50.00240356,2015-12-20 06:47:05+00:00,withdraw(),withdraw()
0xff2c689cb750f2a7d46e7471521189ced948f965,50.0,2018-02-26 06:00:48+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x2cc2720ec4263ca730e6209348673665939c29e2,49.41971939,2017-04-12 08:07:26+00:00,withdrawEther(),kill();withdrawEther()
0x9508008227b6b3391959334604677d60169ef540,43.935,2017-12-19 15:48:07+00:00,withdraw(),withdraw()
0xf8f6e626af09b0455acd9162beb5a484724f25b5,39.20082619,2018-01-03 21:55:23+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xf0a924661b0263e5ce12756d07f45b8668c53380,37.508459473,2017-07-24 17:01:44+00:00,withdraw();refund(),withdraw();kill();finalize();refund()
0xd6770aac65a48f5715889a4cdbf30a4faf73a073,36.918817832,2018-05-09 02:43:47+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x1d9c44890d7f36eb9771ac4c9cd37eb7d354207f,35.983307352,2018-09-09 06:00:28+00:00,withdraw(uint256),withdraw(uint256)
0x796dbc51b37f2d92b0af1271fd9520c8efd1be61,34.995423626,2018-04-26 04:17:08+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x50c19ffdbda85d1a07c09f01e113a94923801d32,34.307,2018-02-28 13:36:51+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x489fe6e54db68acfb5f79950174cf8cdb2b78842,34.118828006,2018-02-20 00:44:32+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x102011cb0f7109e98a4e98dfbacd792bfb343e14,32.145341304,2017-10-06 00:26:01+00:00,release(),release();drain()
0x6f40d96713b60d5083bc2493251907ca673de1b8,27.724550896,2018-02-08 14:56:39+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x6a13cbb3a3ecd7e8d74636f79c4a09acb1f85606,25.0,2018-06-08 00:30:31+00:00,claimTokens(),claimTokens()
0x1ad8b48c4ebe5a6c1573fd6f3b8222704f848f2b,24.95,2019-10-21 02:56:46+00:00,withdrawEther(),kill();withdrawEther()
0x29a6396b517fa62ca0eb72a886ac75d4b5a5f428,20.9,2018-01-14 11:57:35+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x8c0abc25baa0f3bb34090dae8cc8a04e8c32269b,20.340253127,2019-01-23 11:58:40+00:00,withdraw(),withdraw();kill()
0x61d64c69ee2b74d2f5739cbedee416ab6363804d,20.0,2018-05-09 20:18:45+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xccefbf06e69039df9632ea8b5484a8890d46bbbc,19.535138853,2018-04-27 01:37:33+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xf652d990e50af27d8d423ac80631b4f5ef6d4113,19.330982009,2018-03-14 10:23:02+00:00,ownerWithdraw(),ownerWithdraw()
0x3bc4f2dbd004ca363e5506c80d586dc3933d780a,19.224462,2018-06-10 14:39:51+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xd838f9c9792bf8398e1f5fbfbd3b43c5a86445aa,19.0950266,2016-04-21 07:57:31+00:00,refund(),refund()
0x887910314a3bfbe7b6ea0c5fbf3b9fd2fcac89d1,18.6396,2018-07-04 16:40:45+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xaa1197f77a52d35dd454924f0d663870bb083c71,18.33340547,2018-05-11 12:51:16+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x5087fecec9b7386d1f2417fd779e1fd9bf509466,17.0,2017-08-31 22:14:34+00:00,withdraw();refund(),withdraw();refund()
